,,,,,,,,Weight,0.1,0.3
Temperature,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,temp,,Temperature,Predicted_.25,Predicted_.5
25.43148902,0.67791626,0.208398549,0.033097536,0.14575756,0.291932535,25.43148902,,25.43148902,25,25
24.48605608,0.801851364,0.445988516,0.869082451,0.499015394,0.53149029,24.48605608,,24.48605608,25.0431489,25.12944671
20.05508693,0.781816502,0.040595784,0.205772881,0.517225462,0.59845726,20.05508693,,20.05508693,24.98743962,24.93642952
22.78169014,0.651029898,0.316017774,0.945797433,0.433241594,0.378672525,22.78169014,,22.78169014,24.49420435,23.47202674
25.29282629,0.292357273,0.893462568,0.289188202,0.490346618,0.012502304,25.29282629,,25.29282629,24.32295293,23.26492576
24.99035529,0.943349151,0.063947982,0.718288428,0.839038576,0.983174626,24.99035529,,24.99035529,24.41994027,23.87329592
23.98467188,0.674062828,0.194181746,0.036289912,0.041649016,0.412191597,23.98467188,,23.98467188,24.47698177,24.20841373
20.00053149,0.248843254,0.593327389,0.434120322,0.301600083,0.021741415,20.00053149,,20.00053149,24.42775078,24.14129118
30.06108448,0.409015856,0.671307792,0.932260165,0.170214672,0.900514931,30.06108448,,30.06108448,23.98502885,22.89906327
21.68010448,0.936860219,0.735941912,0.226904976,0.999312499,0.693273616,21.68010448,,21.68010448,24.59263441,25.04766963
29.04899829,0.45099091,0.740447961,0.6984622,0.187612971,0.586870993,29.04899829,,29.04899829,24.30138142,24.03740009
28.32322763,0.236091597,0.022576585,0.374476151,0.255244782,0.766169297,28.32322763,,28.32322763,24.77614311,25.54087955
25.54785012,0.030743463,0.592829563,0.710624554,0.42557484,0.722542096,25.54785012,,25.54785012,25.13085156,26.37558397
24.31045181,0.047019963,0.952721061,0.815408967,0.41051863,0.48874271,24.31045181,,24.31045181,25.17255142,26.12726382
22.59364391,0.63292874,0.002731606,0.327118148,0.106443499,0.107971709,22.59364391,,22.59364391,25.08634145,25.58222021
20.99256279,0.456789793,0.989962462,0.285558984,0.975520299,0.683311301,20.99256279,,20.99256279,24.8370717,24.68564732
26.2340349,0.701552682,0.560333427,0.279732313,0.894963064,0.134359717,26.2340349,,26.2340349,24.45262081,23.57772196
24.42263795,0.2015324,0.421956653,0.875007445,0.268945564,0.860667608,24.42263795,,24.42263795,24.63076222,24.37461584
28.78189406,0.017517108,0.289054762,0.665635075,0.530696969,0.648537492,28.78189406,,28.78189406,24.60994979,24.38902247
29.66196322,0.22412002,0.490226797,0.740973855,0.187867883,0.654270822,29.66196322,,29.66196322,25.02714422,25.70688395
28.42714601,0.828154981,0.704656059,0.644797222,0.037440199,0.678991202,28.42714601,,28.42714601,25.49062612,26.89340773
23.63728464,0.171890607,0.843169357,0.224393157,0.501580027,0.432705724,23.63728464,,23.63728464,25.78427811,27.35352922
29.30800905,0.845389106,0.884731104,0.398741511,0.383675653,0.043485853,29.30800905,,29.30800905,25.56957876,26.23865584
24.33150632,0.817274487,0.211003542,0.229563903,0.090436423,0.458950108,24.33150632,,24.33150632,25.94342179,27.15946181
22.86519154,0.086018302,0.157109309,0.129820289,0.369268596,0.584570219,22.86519154,,22.86519154,25.78223024,26.31107516
28.7766241,0.10199798,0.951888426,0.37536339,0.461749852,0.950576982,28.7766241,,28.7766241,25.49052637,25.27731008
27.50403798,0.215428533,0.697058847,0.441888442,0.435082925,0.476067424,27.50403798,,27.50403798,25.81913615,26.32710428
23.6077374,0.784633296,0.129990799,0.910621374,0.663956743,0.687595773,23.6077374,,23.6077374,25.98762633,26.68018439
26.93122924,0.013830851,0.514541348,0.10327017,0.395918281,0.854207089,26.93122924,,26.93122924,25.74963744,25.75845029
28.62355626,0.331712168,0.175186133,0.885406424,0.591323772,0.516522465,28.62355626,,28.62355626,25.86779662,26.11028398
21.72177219,0.241024829,0.871963777,0.550288882,0.991240191,0.192385374,21.72177219,,21.72177219,26.14337258,26.86426566
26.50479277,0.863484503,0.791432698,0.36201665,0.30916694,0.364209067,26.50479277,,26.50479277,25.70121254,25.32151762
22.01149901,0.071115647,0.774849824,0.830061965,0.001487348,0.276864259,22.01149901,,22.01149901,25.78157057,25.67650017
22.68113526,0.517093555,0.546359969,0.302448181,0.29570498,0.407353853,22.68113526,,22.68113526,25.40456341,24.57699982
21.19158778,0.946262404,0.209021503,0.667679291,0.8410996,0.014284596,21.19158778,,21.19158778,25.13222059,24.00824045
21.44351055,0.030490624,0.879867719,0.320403305,0.312072029,0.699659196,21.44351055,,21.44351055,24.73815731,23.16324465
21.25600827,0.673805474,0.743037745,0.165428545,0.127458467,0.953186313,21.25600827,,21.25600827,24.40869264,22.64732442
26.81764278,0.946922053,0.235625348,0.022084313,0.286005789,0.725951364,26.81764278,,26.81764278,24.0934242,22.22992957
27.67483777,0.410505171,0.897695825,0.407535691,0.260804214,0.430217386,27.67483777,,27.67483777,24.36584606,23.60624354
23.06449372,0.431101032,0.350539322,0.662178527,0.010665748,0.6714222,23.06449372,,23.06449372,24.69674523,24.82682181
22.34544392,0.896920991,0.964434469,0.966244711,0.282852319,0.089833991,22.34544392,,22.34544392,24.53352008,24.29812338
24.19943317,0.066123748,0.292106323,0.35418516,0.080085902,0.238021555,24.19943317,,24.19943317,24.31471246,23.71231954
22.808366,0.350895582,0.329189125,0.661659832,0.657864477,0.911904181,22.808366,,22.808366,24.30318453,23.85845363
21.39199618,0.745475966,0.403536839,0.503025946,0.320922731,0.567504073,21.39199618,,21.39199618,24.15370268,23.54342734
28.07216038,0.87080457,0.570406249,0.218241976,0.881345398,0.249360301,28.07216038,,28.07216038,23.87753203,22.89799799
23.42333425,0.821991182,0.098582642,0.690888694,0.959402234,0.963667745,23.42333425,,23.42333425,24.29699487,24.45024671
24.74980861,0.947343646,0.118816411,0.183271097,0.831827364,0.859286976,24.74980861,,24.74980861,24.2096288,24.14217297
27.04259335,0.403866463,0.947256095,0.22421754,0.439968778,0.901840869,27.04259335,,27.04259335,24.26364678,24.32446366
20.07399416,0.567045473,0.193825696,0.933161772,0.807468582,0.625053843,20.07399416,,20.07399416,24.54154144,25.13990257
